的	〔白勹丶 · unid〕
僔	〔亻丷酉寸 · jhyk〕
僝	〔亻尸子子 · jchh〕
僰	〔木冂木人 · emej〕
僽	〔亻禾火心 · jxch〕
儓	〔亻士口至 · jgdy〕
儗	〔亻匕矢疋 · jvot〕
儦	〔亻鹿灬 · jxch〕
儳	〔亻兔 · jwvw〕
儴	〔亻衣口一 · jtdf〕
兲	〔王八 · nhb〕
円	〔円 · vy vyy〕
冇	〔𠂇冂 · nmk〕
冏	〔冂八口 · mhdk〕
冓	〔一冂土 · qfmg〕
冔	〔⺜口一 · odfn〕
冮	〔冫工 · wug〕
凊	〔冫龶⺝ · wavy〕
凓	〔冫覀木 · wvem〕
凘	〔冫斤 · wzht〕
凢	〔丿几 · toj〕
凪	〔几止 · osi〕
刌	〔寸刂 · kpd〕
刓	〔二儿刂 · mppd〕
刜	〔弗刂 · tpd〕
刬	〔一戈刂 · fppd〕
刲	〔土土刂 · ggpd〕
刵	〔耳刂 · qpd〕
剅	〔豆刂 · zpd〕
剉	〔人人土刂 · jjgp〕
剋	〔古儿刂 · cppd〕
剏	〔䒑廾刀丶 · hlpi〕
剒	〔龷日刂 · lopd〕
剕	〔非刂 · rpd〕
剚	〔一口刂 · fdbp〕
剟	〔又又又刂 · rrrp〕
剺	〔未攵厂刀 · ahxp〕
劀	〔予丿冂刂 · itmp〕
劄	〔⺮亼口刂 · rjdp〕
劘	〔麻非刂 · zrpd〕
劙	〔彑虫刂 · bjcp〕
劻	〔匚王力 · nnsl〕
劼	〔士口力 · gdsl〕
勍	〔小力 · gysl〕
勔	〔面力 · bsl〕
勚	〔廿㇗贝力 · laos〕
勠	〔羽人彡力 · zjes〕
勷	〔衣口口力 · tdds〕
勼	〔勹九 · nkj〕
匄	〔勹亡 · nfw〕
匜	〔匚也 · ney〕
匼	〔匸亼口 · njdk〕
卌	〔卌 · lx lxx〕
卍	〔ヿヿヿヿ · aaaa〕
卬	〔卩 · bzj〕
卼	〔一儿⺈⺋ · fpxz〕
厖	〔厂尤彡 · xoes〕
厾	〔⺄土厶 · agks〕
叆	〔云爫冖又 · bywr〕
叇	〔云氺辶 · bbku〕
叒	〔又又又 · rrry〕
叕	〔又又又又 · rrrr〕
叚	〔二コ又 · cmnr〕
吔	〔口也 · dey〕
吖	〔口丷丨 · dhgs〕
吪	〔口亻 · djvb〕
吰	〔口𠂇厶 · dnks〕
吽	〔口牛 · dqn〕
呇	〔水口 · kdk〕
呌	〔口斗 · djd〕
呝	〔口户乙 · dmai〕
呣	〔口母 · dkm〕
呯	〔口干丷 · dehb〕
呴	〔口句 · dgj〕
咇	〔口心丿 · dhtp〕
咉	〔口冂大 · dmmd〕
咍	〔口厶口 · dkdk〕
咑	〔口扌丁 · duad〕
咗	〔口𠂇工 · dnug〕
咡	〔口耳 · dqe〕
咥	〔口至 · dyi〕
咲	〔口䒑大 · dhmd〕
咺	〔口一日一 · dfof〕
哃	〔口冂一口 · dmfd〕
哋	〔口土也 · dgey〕
哢	〔口王廾 · dnlc〕
哱	〔口十冖子 · dnwh〕
唗	〔口走 · dpz〕
唝	〔口工贝 · duob〕
唞	〔口扌斗 · dujd〕
唵	〔口大日乚 · dmoa〕
唶	〔口龷日 · dlor〕
啗	〔口⺈臼 · dxpj〕
啙	〔匕口口 · svdd〕
啫	〔口耂日 · dqor〕
啯	〔口囗王丶 · drni〕
啰	〔口罒夕 · dylx〕
啱	〔口山石 · dvms〕
啲	〔口白勹丶 · duni〕
啴	〔口丷田十 · dhqn〕
喆	〔士口士口 · gdgd〕
喌	〔口口川 · ddoo〕
喎	〔口冎口 · dfdk〕
喓	〔口覀女 · dvbn〕
喤	〔口白王 · dunw〕
喨	〔口几 · dgoj〕
喭	〔口厂彡 · dixe〕
喰	〔口食 · dqs〕
喺	〔口亻丿糸 · djti〕
嗈	〔口巛口巴 · dodm〕
嗐	〔口宀丰口 · dwad〕
嗙	〔口冖方 · diwl〕
嗛	〔口䒑 · dhbc〕
嗞	〔口䒑幺幺 · dhii〕
嗱	〔口亼口手 · djdu〕
嗻	〔口广廿灬 · dxlc〕
嘑	〔口虍丿 · dztn〕
嘒	〔口丰丰彐 · daab〕
嘚	〔口彳日寸 · dwok〕
嘡	〔口土 · dsgt〕
嘢	〔口里予 · ddiv〕
噀	〔口巳巳八 · dvvh〕
噂	〔口丷酉寸 · dhyk〕
噆	〔口旡旡曰 · dddo〕
噇	〔口立里 · didl〕
噏	〔口亼口羽 · djdz〕
噷	〔口音欠 · dxeq〕
嚃	〔口罒辶 · dyku〕
嚄	〔口艹隹又 · dlur〕
嚚	〔口口臣口 · ddqd〕
嚜	〔口黑土 · dpgt〕
嚡	〔口革土土 · dtgg〕
嚭	〔壴口不口 · hdcd〕
嚱	〔口虍豆戈 · dzzp〕
囗	〔囗 · rk rkk〕
囙	〔囗コ · rnk〕
囥	〔囗亠几 · rzoj〕
囮	〔囗亻 · rjvb〕
囷	〔囗禾 · rxh〕
圂	〔囗豕 · rjs〕
圌	〔囗山而 · rvle〕
圐	〔囗罒方 · rylf〕
圙	〔囗八面 · rhbm〕
圢	〔土丁 · gad〕
圫	〔土丿七 · gtrq〕
圲	〔土千 · glq〕
坉	〔土一 · gfsc〕
坋	〔土八刀 · ghpd〕
坒	〔匕土 · vvgt〕
坢	〔土丷 · ghus〕
坥	〔土且 · gfq〕
坬	〔土瓜 · gyg〕
坰	〔土冂口 · gmdk〕
坽	〔土亽龴 · gjks〕
垇	〔土一 · gmfi〕
垈	〔亻弋土 · jpgt〕
垍	〔土自 · goi〕
垎	〔土各 · gsg〕
垏	〔土聿 · gbv〕
垕	〔⺁一口土 · xfdg〕
垙	〔土光 · gmg〕
垚	〔土土土 · gggt〕
垝	〔土⺈厂⺋ · gxxz〕
垞	〔土宀丿七 · gwtr〕
垟	〔土羊 · ggy〕
垯	〔土大辶 · gmuc〕
垱	〔土⺌彐 · gybj〕
垵	〔土宀女 · gwbn〕
垺	〔土爫子 · gyhi〕
垽	〔氵斤土 · ktgt〕
垾	〔土日干 · goeg〕
垿	〔土广予 · gxiv〕
埆	〔土⺈用 · gxty〕
埇	〔土龴 · gkty〕
埌	〔土丶艮 · giig〕
埗	〔土止 · gssi〕
埪	〔土穴工 · geug〕
埫	〔土尚 · gss〕
埵	〔土千艹士 · gllg〕
埻	〔土子 · gghi〕
埼	〔土大可 · gmzk〕
堃	〔方方土 · llgt〕
堄	〔土臼儿 · gppe〕
堉	〔土⺝ · gbvy〕
堌	〔土囗古 · grcg〕
堎	〔土土八夊 · gghh〕
堐	〔土厂土土 · gxgg〕
堧	〔土而大 · glmd〕
堨	〔土曰勹亾 · gonf〕
堩	〔土忄一一 · ghff〕
堲	〔卩土 · izgt〕
堶	〔土𠂇工⺝ · gnuv〕
堼	〔土土寸土 · ggkg〕
堽	〔土罒一止 · gyfs〕
堾	〔土㇏日 · gaio〕
塃	〔土艹亡 · glfo〕
塅	〔土一殳 · gufr〕
塆	〔土亠弓 · gzcb〕
塈	〔旡土 · idgt〕
塕	〔土八厶羽 · ghkz〕
塝	〔土冖方 · giwl〕
塥	〔土鬲 · gng〕
塮	〔土身寸 · gzkc〕
塱	〔丶月土 · iivg〕
塽	〔土大乂乂 · gmbb〕
墈	〔土力 · gzhs〕
墋	〔土厶厶彡 · gkke〕
墐	〔土廿口龶 · glda〕
墕	〔土一止灬 · gfsc〕
墘	〔土十日乙 · gnoa〕
墡	〔土羊䒑口 · gghd〕
墣	〔土业⺶㇏ · gcgi〕
墦	〔土丿米田 · gtpq〕
墬	〔阝彑土 · tbjg〕
墺	〔土丿冂大 · gtmm〕
壸	〔士冖一业 · gwfc〕
夐	〔⺈冂八夊 · xmhh〕
夬	〔人 · njr〕
夶	〔大大 · mmd〕
夿	〔大巴 · mmb〕
奀	〔不大 · cmd〕
奅	〔大卯 · mbm〕
奆	〔大匚コ · mnnk〕
奓	〔大夕夕 · mllx〕
奡	〔一自大 · fomp〕
奣	〔一大日月 · fmov〕
奤	〔大面 · mbm〕
奭	〔大一白白 · mfuu〕
奻	〔女女 · bbn〕
妘	〔女云 · bby〕
妭	〔女𠂇又丶 · bnri〕
妸	〔女可 · bzk〕
姁	〔女句 · bgj〕
姈	〔女亽龴 · bjks〕
姛	〔女冂一口 · bmfd〕
姞	〔女士口 · bgdk〕
姤	〔女⺁一口 · bxfd〕
姦	〔女女女 · bbbn〕
姪	〔女至 · byi〕
姮	〔女一日一 · bfof〕
姱	〔女大二ㄅ · bmma〕
姶	〔女亼口 · bjdk〕
姽	〔女⺈厂⺋ · bxxz〕
娀	〔女戈𠂇 · bpns〕
娒	〔女𠂉母 · bekm〕
娖	〔女足 · bpu〕
娚	〔女田力 · bqsl〕
娵	〔女耳又 · bqry〕
婋	〔女虎 · bzh〕
婌	〔女⺊一又 · byfr〕
婍	〔女大可 · bmzk〕
婗	〔女臼儿 · bppe〕
婘	〔女丷夫⺋ · bhhz〕
婞	〔女土 · bggy〕
婠	〔女宀㠯 · bwki〕
婤	〔女冂土口 · bmgd〕
婥	〔女⺊日十 · byon〕
婫	〔女日匕 · bovv〕
婬	〔女爫㇒士 · bytg〕
婳	〔女一田凵 · bfqm〕
婻	〔女十冂 · bnmg〕
婼	〔女艹𠂇口 · blnd〕
媂	〔女冖巾 · biwr〕
媄	〔女⺷大 · bgmd〕
媆	〔女而大 · blmd〕
媓	〔女白王 · bunw〕
媕	〔女亼口廾 · bjdl〕
媖	〔女艹冂大 · blmm〕
媞	〔女日 · bots〕
媟	〔女廿㇗木 · blae〕
媢	〔女⺜目 · boqm〕
媭	〔彡页女 · ewbn〕
媱	〔女爫缶 · byaf〕
媿	〔女鬼 · bag〕
嫄	〔女厂白小 · bxuy〕
嫋	〔女弓冫冫 · bbww〕
嫏	〔女丶阝 · biit〕
嫐	〔田力女女 · qsbb〕
嫑	〔不覀女 · cvbn〕
嫕	〔女匸矢心 · bnoh〕
嫚	〔女曰罒又 · boyr〕
嫛	〔匸矢殳女 · norb〕
嫪	〔女羽人彡 · bzje〕
嫭	〔女虍丿 · bztn〕
嫳	〔㡀攵女 · fhbn〕
嫽	〔女大丷小 · bmhy〕
嬛	〔女罒一 · byft〕
嬥	〔女羽隹 · bzui〕
嬬	〔女⻗而 · btle〕
嬿	〔女廿口灬 · bldc〕
孅	〔女人人一 · bjjf〕
孖	〔子子 · hhi〕
宧	〔宀 · wqc〕
宬	〔宀戊㇆ · wnae〕
寁	〔宀一龰 · wfbs〕
尒	〔人小 · jyx〕
尛	〔小小小 · yyyx〕
尢	〔尢 · oy oyy〕
尨	〔尤彡 · oes〕
尪	〔尢王 · onw〕
屃	〔尸贝 · cob〕
屄	〔尸穴 · cex〕
屌	〔尸口巾 · cdrj〕
屮	〔屮 · sc〕
屲	〔丿山 · tvs〕
屼	〔山一儿 · vfpe〕
屾	〔山山 · vvs〕
岊	〔巴山 · mvs〕
岕	〔山人 · vjpd〕
岞	〔山乍 · vwa〕
岠	〔山匚コ · vnnk〕
岧	〔山刀口 · vpdk〕
岨	〔山且 · vfq〕
峂	〔山夂⺀ · vhwb〕
峃	〔⺍冖山 · kwvs〕
峗	〔山⺈厂⺋ · vxxz〕
峘	〔山一日一 · vfof〕
峛	〔山歹刂 · vgpd〕
峣	〔山一儿 · vpfp〕
峧	〔山六乂 · vabi〕
峬	〔山甫 · vnf〕
峱	〔犭ヿ土山 · magv〕
峿	〔山五口 · vwdk〕
崀	〔山丶艮 · viig〕
崁	〔山土欠 · vgeq〕
崄	〔山亼⺍一 · vjkf〕
崌	〔山尸古 · vccg〕
崒	〔山亠人十 · vzjn〕
崚	〔山土八夊 · vghh〕
崟	〔山金 · vzj〕
崡	〔山乛氺凵 · vakm〕
崶	〔山土土寸 · vggk〕
崿	〔山口口ㄅ · vdda〕
嵁	〔山㇗ · vzha〕
嵅	〔山戊一口 · vnfd〕
嵎	〔山田⽱ · vqvr〕
嵖	〔山木日一 · veof〕
嵚	〔山钅欠 · vzeq〕
嵲	〔山自木 · voem〕
嶅	〔龶刀攵山 · aphv〕
嶍	〔山羽白 · vzub〕
嶒	〔山丷囗曰 · vhro〕
嶓	〔山丿米田 · vtpq〕
嶕	〔山隹灬 · vuch〕
嶟	〔山丷酉寸 · vhyk〕
嶦	〔山⺈厂言 · vxxs〕
嶰	〔山⺈用牛 · vxtq〕
嶲	〔山隹 · vumk〕
巇	〔山虍豆戈 · vzzp〕
巉	〔山兔 · vwvw〕
巛	〔巛 · oc〕
巭	〔工力夫 · ushf〕
帡	〔巾䒑廾 · rhlc〕
帨	〔巾丷口儿 · rhdp〕
帩	〔巾⺌⺝ · ryvy〕
帵	〔巾宀夕⺋ · rwlz〕
幈	〔巾尸䒑廾 · rchl〕
幖	〔巾覀示 · rvfs〕
幧	〔巾口口木 · rdde〕
幪	〔巾艹冖豕 · rlwj〕
広	〔广厶 · xks〕
庤	〔广土寸 · xgkc〕
庱	〔广土八夊 · xghh〕
庼	〔广页 · xvwy〕
廆	〔广鬼 · xag〕
廋	〔广臼丨又 · xpgr〕
廙	〔广田龷八 · xqlh〕
弆	〔土厶廾 · gklc〕
弇	〔亼口廾 · jdlc〕
弝	〔弓巴 · bmb〕
弢	〔弓屮又 · bsry〕
弨	〔弓刀口 · bpdk〕
弪	〔弓ス工 · brug〕
弶	〔弓小 · bgyx〕
弸	〔弓月月 · bvvy〕
彟	〔彐寸艹又 · bklr〕
彧	〔戈口一 · pdfe〕
徛	〔彳大可 · wmzk〕
忞	〔文心 · vhx〕
忣	〔忄及 · hcj〕
忨	〔忄二儿 · hmpe〕
忳	〔忄一 · hfsc〕
忺	〔忄欠 · heq〕
怊	〔忄刀口 · hpdk〕
怗	〔忄⺊口 · hydk〕
怳	〔忄口儿 · hdpe〕
怹	〔亻也心 · jehx〕
恇	〔忄匚王 · hnnw〕
恏	〔女子心 · bhhx〕
恓	〔忄西 · hvx〕
恔	〔忄六乂 · habi〕
恟	〔忄勹㐅凵 · hnbm〕
悆	〔人心 · jxhx〕
悈	〔忄戈廾 · hplc〕
悕	〔忄㐅𠂇巾 · hbnr〕
悢	〔忄丶艮 · hiig〕
悰	〔忄宀示 · hwfs〕
悾	〔忄穴工 · heug〕
惇	〔忄子 · hghi〕
惎	〔心 · zhhx〕
惓	〔忄丷夫⺋ · hhhz〕
惔	〔忄火火 · hcch〕
惗	〔忄亽心 · hjah〕
惙	〔忄又又又 · hrrr〕
惛	〔忄氏日 · hbor〕
惢	〔心心心 · hhhx〕
惼	〔忄户 · hmic〕
愃	〔忄宀一一 · hwff〕
愊	〔忄一口田 · hfdq〕
愐	〔忄面 · hbm〕
愒	〔忄曰勹亾 · honf〕
愔	〔忄音 · hxy〕
愭	〔忄老日 · hqor〕
慆	〔忄爫臼 · hypj〕
慓	〔忄覀示 · hvfs〕
慜	〔𠂉母攵心 · ekhh〕
慠	〔忄龶刀攵 · haph〕
慥	〔忄⺧口辶 · hqdu〕
慬	〔忄廿口龶 · hlda〕
慭	〔未丷犬心 · ahmh〕
慽	〔忄戊⺊小 · hnyy〕
憃	〔㇏臼心 · aiph〕
憏	〔忄示 · hhfs〕
憕	〔忄癶豆 · hhzd〕
憙	〔壴口心 · hdhx〕
憭	〔忄大丷小 · hmhy〕
憯	〔忄旡旡曰 · hddo〕
憱	〔忄小尤 · hgyo〕
憺	〔忄⺈厂言 · hxxs〕
懁	〔忄罒一 · hyft〕
懃	〔廿口龶心 · ldah〕
懆	〔忄口口木 · hdde〕
懞	〔忄艹冖豕 · hlwj〕
戣	〔癶一大戈 · hfmp〕
戭	〔宀一由戈 · wfdp〕
扂	〔户⺊口 · mydk〕
扅	〔户夕夕 · mllx〕
扆	〔户衣 · mti〕
扊	〔户火火 · mcch〕
扞	〔扌干 · ueg〕
扠	〔扌又丶 · urid〕
扤	〔扌一儿 · ufpe〕
扺	〔扌氏 · ubs〕
扽	〔扌一 · ufsc〕
抃	〔扌亠卜 · uzyb〕
抆	〔扌文 · uvw〕
抇	〔扌日 · uor〕
抈	〔扌月 · uvy〕
抏	〔扌二儿 · umpe〕
抔	〔扌不 · ucb〕
抦	〔扌一冂人 · ufmj〕
抶	〔扌丿夫 · uthf〕
拃	〔扌乍 · uwa〕
拤	〔扌⺊一卜 · uyfy〕
挓	〔扌宀丿七 · uwtr〕
挜	〔扌一业 · ufcy〕
挦	〔扌彐寸 · ubkc〕
挵	〔扌王廾 · unlc〕
挼	〔扌爫女 · uybn〕
捯	〔扌至刂 · uypd〕
捽	〔扌亠人十 · uzjn〕
掞	〔扌火火 · ucch〕
掯	〔扌止⺝ · usvy〕
掱	〔手手手 · uuus〕
掹	〔扌子皿 · uham〕
揅	〔石一廾手 · mflu〕
揌	〔扌田心 · uqhx〕
揕	〔扌㇗ · uzha〕
揢	〔扌宀各 · uwsg〕
揦	〔扌束刂 · uxpd〕
揳	〔扌丰刀大 · uapm〕
揻	〔扌戊一女 · unfb〕
揾	〔扌日皿 · uoam〕
搋	〔扌⺁虎 · uxzh〕
搒	〔扌冖方 · uiwl〕
搕	〔扌土厶皿 · ugka〕
搰	〔扌骨 · ufg〕
摏	〔扌㇏臼 · uaip〕
摛	〔扌亠㐅禸 · uzbv〕
摴	〔扌⻗二ㄅ · utma〕
摽	〔扌覀示 · uvfs〕
撖	〔扌乛耳攵 · uaqh〕
撚	〔扌犬灬 · uvmc〕
撴	〔扌子攵 · ughh〕
擖	〔扌艹曰亾 · ulof〕
擩	〔扌⻗而 · utle〕
擿	〔扌冂辶 · uimu〕
攽	〔八刀攵 · hphp〕
敁	〔⺊口攴 · ydhp〕
敔	〔五口攵 · wdhp〕
敠	〔又又又攴 · rrrh〕
敩	〔⺍冖子攵 · kwhh〕
斝	〔口口冖斗 · ddwj〕
斠	〔一冂斗 · qfmj〕
斶	〔斤罒勹虫 · tync〕
旐	〔方𠂉儿 · lepw〕
旞	〔方𠂉丷辶 · lehu〕
旴	〔日一 · ofns〕
旵	〔日山 · ovs〕
旸	〔日ㄋ · oaes〕
旻	〔日文 · ovw〕
旿	〔日𠂉十 · oens〕
昄	〔日⺁又 · oxry〕
昇	〔日丿廾 · otlc〕
昈	〔日户 · omh〕
昉	〔日方 · olf〕
昒	〔日勹 · ones〕
昡	〔日亠幺 · oziy〕
昣	〔日人彡 · ojes〕
昤	〔日亽龴 · ojks〕
昪	〔日厶廾 · oklc〕
昫	〔日句 · ogj〕
昳	〔日丿夫 · othf〕
昺	〔日一冂人 · ofmj〕
昽	〔日龙 · otl〕
晅	〔日一日一 · ofof〕
晊	〔日至 · oyi〕
晐	〔日亥 · okh〕
晙	〔日厶八夊 · okhh〕
晞	〔日㐅𠂇巾 · obnr〕
晢	〔扌斤日 · utor〕
晪	〔日 · oihb〕
晫	〔日⺊日十 · oyon〕
晬	〔日亠人十 · ozjn〕
晱	〔日火火 · occh〕
暅	〔日忄一一 · ohff〕
暎	〔日艹冂大 · olmm〕
暕	〔日束丷 · oxhb〕
暲	〔日音十 · oxns〕
暵	〔日廿口夫 · oldh〕
暶	〔日方𠂉疋 · olet〕
暿	〔日壴口 · ohdk〕
曈	〔日立里 · oidl〕
曌	〔日月穴工 · oveu〕
曚	〔日艹冖豕 · olwj〕
曶	〔勹曰 · neor〕
朏	〔月屮凵 · vsmk〕
朓	〔月儿冫 · vpww〕
朘	〔月厶八夊 · vkhh〕
朣	〔月立里 · vidl〕
朳	〔木八 · ehb〕
朸	〔木力 · esl〕
杄	〔木千 · elq〕
杕	〔木大 · emd〕
杙	〔木弋 · epi〕
杧	〔木亡 · efw〕
杻	〔木ヿ土 · eagt〕
枅	〔木一廾 · eflc〕
枍	〔木八一ㄅ · ehfa〕
枑	〔木一彑 · efbj〕
枒	〔木牙 · ely〕
枲	〔厶口木 · kdem〕
枹	〔木勹巳 · envs〕
柈	〔木丷 · ehus〕
柊	〔木夂⺀ · ehwb〕
柖	〔木刀口 · epdk〕
柮	〔木屮凵 · esmk〕
柷	〔木口儿 · edpe〕
栐	〔木丶水 · eiks〕
栒	〔木勹日 · enor〕
栟	〔木䒑廾 · ehlc〕
栴	〔木𠂉⺆亠 · eemz〕
栻	〔木弋工 · epug〕
桜	〔木ツ女 · ekbn〕
桯	〔木口王 · ednw〕
桲	〔木十冖子 · enwh〕
桹	〔木丶艮 · eiig〕
梌	〔木人 · ejxh〕
梐	〔木匕土 · evvg〕
梠	〔木口口 · eddk〕
梣	〔木山亽 · evja〕
梴	〔木丿止廴 · etsu〕
梶	〔木尸毛 · ecvm〕
梼	〔木寸 · eakc〕
梽	〔木士心 · eghx〕
梾	〔木未丷 · eahb〕
梿	〔木车辶 · eyuc〕
棁	〔木丷口儿 · ehdp〕
棐	〔非木 · rem〕
棓	〔木立口 · eidk〕
棤	〔木龷日 · elor〕
棨	〔户攵木 · mhem〕
棪	〔木火火 · ecch〕
棫	〔木戈口一 · epdf〕
棬	〔木丷夫⺋ · ehhz〕
棻	〔艹八刀木 · lhpe〕
棽	〔木木亽 · eeja〕
椀	〔木宀夕⺋ · ewlz〕
椆	〔木冂土口 · emgd〕
椇	〔木目 · eqhb〕
椑	〔木白丿十 · eutn〕
椓	〔木豕丶 · ejid〕
椪	〔木䒑业 · ehcy〕
椸	〔木方𠂉也 · elee〕
楒	〔木田心 · eqhx〕
楙	〔予丿木木 · itee〕
楢	〔木丷酉 · ehyy〕
楩	〔木亻一 · ejfb〕
楪	〔木廿㇗木 · elae〕
楬	〔木曰勹亾 · eonf〕
楯	〔木⺁十目 · exnq〕
榃	〔木木田 · eeqt〕
榅	〔木日皿 · eoam〕
榑	〔木甫寸 · enkc〕
榖	〔士冖一殳 · gwfr〕
榰	〔木老日 · eqor〕
榾	〔木骨 · efg〕
槃	〔舟殳木 · irem〕
槅	〔木鬲 · eng〕
槑	〔口木口木 · dede〕
槚	〔木覀贝 · evob〕
槜	〔木隹乃 · euvn〕
槱	〔木酉灬 · eych〕
槺	〔木广氺 · exbk〕
橑	〔木大丷小 · emhy〕
橞	〔木十田心 · enqh〕
橦	〔木立里 · eidl〕
檞	〔木⺈用牛 · extq〕
檵	〔木幺幺㇗ · eiia〕
櫆	〔木鬼斗 · eajd〕
櫼	〔木人人一 · ejjf〕
欂	〔木艹氵寸 · elkk〕
欬	〔亥欠 · keq〕
欸	〔厶矢欠 · koeq〕
欻	〔火火欠 · cceq〕
欿	〔⺈臼欠 · xpeq〕
歅	〔覀土欠 · vgeq〕
歔	〔虍业欠 · zceq〕
殀	〔歹丿大 · gtmd〕
殣	〔歹廿口龶 · glda〕
殭	〔歹一田一 · gfqf〕
毌	〔毌 · ku〕
毐	〔士毋 · gku〕
毑	〔母也 · key〕
毪	〔毛厶牛 · vkqn〕
毴	〔毛非 · vrf〕
毷	〔⺜目毛 · oqvm〕
氇	〔毛鱼日 · vwor〕
氉	〔口口口毛 · dddv〕
氕	〔气丿 · vtp〕
氹	〔乙水 · aks〕
氼	〔水人 · kjr〕
氾	〔氵⺋ · kzj〕
氿	〔氵九 · kkj〕
汈	〔氵㇆㇀ · kafi〕
汋	〔氵勹丶 · knid〕
汍	〔氵九丶 · kkid〕
汏	〔氵大 · kmd〕
汧	〔氵一廾 · kflc〕
汫	〔氵井 · kqj〕
汭	〔氵冂人 · kmjr〕
沄	〔氵云 · kby〕
沇	〔氵厶儿 · kkpe〕
沕	〔氵勹 · knes〕
沘	〔氵匕 · kvvb〕
沚	〔氵止 · ksi〕
沝	〔水水 · kks〕
沢	〔氵尸丶 · kcid〕
沨	〔氵⺇乂 · kobi〕
沺	〔氵田 · kqt〕
泂	〔氵冂口 · kmdk〕
泃	〔氵句 · kgj〕
泇	〔氵力口 · ksdk〕
泙	〔氵干丷 · kehb〕
泚	〔氵匕 · ksvb〕
泜	〔氵氏丶 · kbid〕
洈	〔氵⺈厂⺋ · kxxz〕
洑	〔氵亻犬 · kjmq〕
洓	〔氵木冂 · kemk〕
洘	〔氵耂一ㄅ · kqfa〕
洢	〔氵亻丿 · kjbt〕
洣	〔氵米 · kpm〕
洨	〔氵六乂 · kabi〕
洭	〔氵匚王 · knnw〕
洴	〔氵䒑廾 · khlc〕
洸	〔氵光 · kmg〕
洺	〔氵夕口 · kldk〕
洿	〔氵大二ㄅ · kmma〕
浉	〔氵リ一巾 · kpfr〕
浐	〔氵厂 · kixc〕
浕	〔氵尸丶⺀ · kciw〕
浛	〔氵亽口 · kjad〕
浟	〔氵亻丨攵 · kjgh〕
浡	〔氵十冖子 · knwh〕
浥	〔氵口巴 · kdmb〕
浬	〔氵里 · kdl〕
浭	〔氵一日 · kfob〕
浰	〔氵禾刂 · kxpd〕
浲	〔氵夂丰 · khaf〕
涄	〔氵由一ㄅ · kdfa〕
涊	〔氵刀丶心 · kpih〕
涍	〔氵耂子 · kqhi〕
涐	〔氵丿扌戈 · ktup〕
涘	〔氵厶矢 · kkos〕
涢	〔氵口贝 · kdob〕
涴	〔氵宀夕⺋ · kwlz〕
淏	〔氵日一大 · kofm〕
淜	〔氵月月 · kvvy〕
淟	〔氵 · kihb〕
淯	〔氵⺝ · kbvy〕
淴	〔氵勹心 · kneh〕
渟	〔氵丁 · kgad〕
渰	〔氵亼口廾 · kjdl〕
渼	〔氵⺷大 · kgmd〕
湉	〔氵忄舌 · khas〕
湑	〔氵疋⺝ · ktvy〕
湜	〔氵日 · kots〕
湝	〔氵匕白 · kvvu〕
湣	〔氵民日 · kdor〕
湨	〔氵目犬 · kqmq〕
湲	〔氵爫一又 · kyfr〕
湴	〔氵䒑业 · khcy〕
溁	〔氵艹冖木 · klwe〕
溇	〔氵米女 · kpbn〕
溍	〔氵一业日 · kfco〕
溚	〔氵艹亼口 · kljd〕
溞	〔氵又丶虫 · kric〕
溠	〔氵⺶工 · kgug〕
溦	〔氵山一攵 · kvfh〕
溵	〔氵㐆殳 · kzrs〕
溹	〔氵十冖糸 · knwi〕
滃	〔氵八厶羽 · khkz〕
滆	〔氵鬲 · kng〕
滈	〔氵高 · kgg〕
滉	〔氵日光 · komg〕
滍	〔氵屮一虫 · ksfc〕
滘	〔氵冖八口 · kwhd〕
滙	〔氵匚隹 · knui〕
滧	〔氵六乂攵 · kabh〕
滪	〔氵予页 · kiwy〕
滫	〔氵亻丨⺝ · kjgv〕
滮	〔氵虎彡 · kzes〕
漈	〔氵示 · khfs〕
漋	〔氵阝夂生 · kthl〕
漒	〔氵弓口虫 · kbdc〕
漖	〔氵耂子攵 · kqhh〕
漤	〔氵木木女 · keeb〕
漦	〔未攵厂水 · ahxk〕
漴	〔氵山宀示 · kvwf〕
漷	〔氵子阝 · kght〕
漹	〔氵一止灬 · kfsc〕
漻	〔氵羽人彡 · kzje〕
漼	〔氵山隹 · kvui〕
潏	〔氵予丿口 · kitd〕
潖	〔氵王王巴 · knnm〕
潝	〔氵亼口羽 · kjdz〕
潟	〔氵臼勹灬 · kpnc〕
潩	〔氵田龷八 · kqlh〕
潵	〔氵龷⺝攵 · klvh〕
潽	〔氵䒑业日 · khco〕
潾	〔氵米夕㐄 · kplv〕
澂	〔氵山一攵 · kvfh〕
澔	〔氵白⺧口 · kuqd〕
澛	〔氵鱼日 · kwor〕
澥	〔氵⺈用牛 · kxtq〕
澨	〔氵⺮工人 · kruj〕
澪	〔氵⻗亽龴 · ktjk〕
澭	〔氵亠乡隹 · kziu〕
澴	〔氵罒一 · kyft〕
澼	〔氵尸口辛 · kcdn〕
澽	〔氵虍豕 · kzjs〕
濋	〔氵木木疋 · keet〕
濛	〔氵艹冖豕 · klwj〕
濩	〔氵艹隹又 · klur〕
瀁	〔氵⺶㇏艮 · kgii〕
瀌	〔氵鹿灬 · kxch〕
瀍	〔氵广里土 · kxdg〕
瀔	〔氵士冖殳 · kgwr〕
瀱	〔氵罒厂刂 · kyxp〕
瀼	〔氵衣口一 · ktdf〕
